flat_id,id,floor,kitchen_area,living_area,rooms,is_apartment,studio,total_area,price,build_year,building_type_int,latitude,longitude,ceiling_height,flats_count,floors_total,has_elevator
8348,23114,8,10.600000381469728,56,3,False,False,88.59999847,10990000,2018,4,55.54218673706055,37.48306655883789,2.640000104904175,409,18,True
8350,23116,3,7,28,2,False,False,44.70000076293945,8999000,1967,4,55.85776519775391,37.42268371582031,2.640000104904175,143,9,True
8351,23118,16,10.899999618530272,54.79999923706055,4,False,False,89.09999847,24000000,1996,4,55.56290817260742,37.570430755615234,2.700000047683716,164,16,True
8352,23120,2,7.400000095367432,66.30000305175781,4,False,False,93,17500000,1965,1,55.653507232666016,37.64942551,2.700000047683716,59,6,True
8354,23122,4,9.100000381469728,17.700000762939453,1,False,False,34,7500000,1964,1,55.79640579223633,37.45987319946289,3,72,9,True
8355,23124,12,9.600000381469728,19.600000381469727,1,False,False,36,10050000,1974,6,55.766727447509766,37.67351913452149,2.640000104904175,178,12,True
8356,23126,4,8.300000190734863,27.799999237060547,2,False,False,52.400001525878906,15000000,1988,6,55.78792190551758,37.44795227050781,2.640000104904175,72,7,True
8357,23128,2,6,43.09999847412109,3,False,False,57.20000076293945,11000000,1969,4,55.69534683227539,37.80656814575195,2.640000104904175,178,9,True
8358,23129,3,9.199999809265137,44.59999847412109,3,False,False,65,13650000,1967,6,55.734649658203125,37.69879913330078,2.640000104904175,84,12,True
8360,23130,5,9.600000381469728,19.5,1,False,False,34.5,8500000,1993,6,55.76635360717773,37.83331298828125,2.4800000190734863,111,16,True
8362,23132,4,8.5,17.299999237060547,1,False,False,36,9400000,1965,1,55.73463058,37.47636795043945,2.75,71,9,True
8363,23133,10,10,20,1,False,False,38,6980000,1979,4,55.84422684,37.43226623535156,2.640000104904175,105,16,True
8364,23134,3,6,18,1,False,False,32,7200000,1962,6,55.81770324707031,37.57064437866211,2.4800000190734863,80,5,False
8365,23138,1,6.679999828338623,36.84999847412109,2,False,False,45.810001373291016,8800000,1975,4,55.613319396972656,37.72209930419922,2.5,382,12,True
8367,23140,6,9.5,44.5,3,False,False,75,21500000,2009,2,55.76991271972656,37.48421859741211,2.700000047683716,164,14,True
8368,23141,11,15,24,2,False,False,46,8600000,2007,2,55.80706024169922,37.77212905883789,2.799999952316284,157,19,True
8369,23142,3,7,29,2,False,False,48,13700000,1967,4,55.82349395751953,37.57917022705078,2.640000104904175,250,9,True
8370,23143,3,10,52,3,False,False,80.5,20000000,1957,1,55.69994735717773,37.61968231201172,3,350,11,True
8371,23145,3,9.5,32.5,2,False,False,54,11500000,1994,4,55.56016159057617,37.58372497558594,2.640000104904175,240,17,True
20427,23147,2,6,0,1,False,False,32,8550000,1966,4,55.741981506347656,37.758094787597656,2.640000104904175,60,5,False
20428,23148,4,5.800000190734863,0,2,False,False,31.5,9990000,1970,1,55.86569595336914,37.65898513793945,2.5999999046325684,144,9,True
20429,23149,4,8.300000190734863,18.899999618530277,1,False,False,38.29999923706055,9500000,1995,4,55.64992141723633,37.75882339477539,2.640000104904175,424,10,True
20434,23150,8,7,0,2,False,False,41,10900000,1967,6,55.62855148,37.67582702636719,2.640000104904175,164,12,True
20436,23152,11,9.800000190734863,30.299999237060547,2,False,False,52,25500000,1999,4,55.67772674560547,37.51392364501953,2.75,203,17,True
20437,23153,1,6.5,0,3,False,False,61,13000000,1974,6,55.62345123291016,37.48333740234375,2.4800000190734863,112,12,True
41165,78006,3,5.900000095367432,0,2,False,False,41,10500000,1971,1,55.84528732299805,37.45162582397461,2.640000104904175,287,9,True
